Id,Количество отправленных сообщений за период,Количество получаемых сообщений за период,Соотношение Полученных/Отправленных,Количество адресатов в отправляемых сообщениях,Количество сообщений с адресатами в поле «скрытая копия»,Количество сообщений с адресатами в поле «копия»,"Количество сообщений, прочитанных позднее времени получения",Среднее время ответа на сообщение.,"Количество сообщений, на которые произведен ответ",Количество дней между датой получения и датой прочтения сообщения,Количество символов текста в исходящих сообщениях,"Количество сообщений, отправленных вне рамок рабочего дня","Количество сообщений, отправленных без подписи",res
0,14.0,42.0,3.0,10,0,0,5,2,9.0,1,396,5.0,7.0,False
1,6.0,4.0,0.6666666666666666,5,0,0,2,1,2.0,0,355,0.0,0.0,False
3,3.0,54.0,18.0,1,0,1,0,1,0.0,0,85,0.0,33.0,True
4,25.0,120.0,4.8,13,0,4,2,5,21.0,0,350,20.0,8.0,False
5,47.0,84.0,1.7872340425531914,8,0,3,1,4,34.0,0,496,12.0,4.0,False
6,43.0,94.0,2.186046511627907,13,0,1,1,5,32.0,0,402,12.0,7.0,False
7,37.0,45.0,1.2162162162162162,6,0,2,2,6,21.0,1,222,3.0,4.0,False
8,51.0,84.0,1.6470588235294117,17,0,0,7,8,36.0,1,174,10.0,12.0,False
10,11.0,9.0,0.8181818181818182,5,0,0,2,4,5.0,1,253,1.0,1.0,False
11,22.0,36.0,1.6363636363636365,3,0,1,7,8,7.0,1,188,0.0,19.0,True
12,15.0,72.0,4.8,3,0,0,5,6,8.0,2,254,4.0,7.0,False
13,8.0,113.0,14.125,8,0,0,0,0,7.0,0,412,20.0,3.0,False
14,12.0,92.0,7.666666666666667,7,0,4,5,5,6.0,1,133,8.0,9.0,False
15,10.0,94.0,9.4,5,1,0,7,3,5.0,1,369,12.0,10.0,False
16,58.0,6.0,0.1034482758620689,12,1,1,5,5,3.0,1,223,1.0,0.0,False
18,55.0,45.0,0.8181818181818182,13,0,0,0,2,32.0,0,301,5.0,0.0,False
20,31.0,60.0,1.935483870967742,5,0,1,6,4,16.0,2,345,7.0,6.0,False
21,58.0,38.0,0.6551724137931034,13,0,0,9,9,24.0,2,313,4.0,5.0,False
22,1.0,9.0,9.0,3,0,0,0,1,0.0,2,158,0.0,6.0,True
23,35.0,71.0,2.0285714285714285,3,0,0,4,2,20.0,0,187,6.0,5.0,False
24,40.0,110.0,2.75,3,0,0,3,2,20.0,1,258,6.0,1.0,False
26,60.0,116.0,1.9333333333333331,4,0,1,7,5,42.0,1,118,7.0,8.0,False
